title,nrec,author,date,link
[問卷] 主管矛盾領導對員工組織承諾之影響,9,dandanmai,4/04,https://www.ptt.cc/bbs/Tech_Job/M.1585974279.A.C88.html
[請益] 機械碩畢業出路,7,shotholisi,4/04,https://www.ptt.cc/bbs/Tech_Job/M.1585975656.A.2A0.html
[新聞] 武漢肺炎沒砍單，半導體營運並不悲觀,17,moonth66,4/04,https://www.ptt.cc/bbs/Tech_Job/M.1585976663.A.AD1.html
[請益] offer 請益 （原公司/群聯）,28,gugeegee,4/04,https://www.ptt.cc/bbs/Tech_Job/M.1585982036.A.996.html
[請益] 機械碩畢業出路,X1,shotholisi,4/04,https://www.ptt.cc/bbs/Tech_Job/M.1585984934.A.906.html
[請益] 台積電14a or 12b,39,syong5945,4/04,https://www.ptt.cc/bbs/Tech_Job/M.1585985363.A.A44.html
[討論] 工程師幾歲後到薪資的巔峰？,23,Solami,4/04,https://www.ptt.cc/bbs/Tech_Job/M.1585992981.A.3C6.html
[新聞] 宏達電防疫出招 虛擬王雪紅vr粉墨登場,,hvariables,4/04,https://www.ptt.cc/bbs/Tech_Job/M.1586000575.A.708.html
[討論] 中國手機怎麼突飛猛進的?,44,PauFrank5566,4/05,https://www.ptt.cc/bbs/Tech_Job/M.1586018685.A.27B.html
[討論] 中國手機怎麼突飛猛進的?,9,dilson,4/05,https://www.ptt.cc/bbs/Tech_Job/M.1586043022.A.949.html
[新聞] 2019年全球ic銷售市場、台灣6%居第四,1,zxcvxx,4/01,https://www.ptt.cc/bbs/Tech_Job/M.1585719637.A.FCD.html
[討論] 人力銀行的薪資統計,17,Kuba4ma,4/01,https://www.ptt.cc/bbs/Tech_Job/M.1585735659.A.29E.html
[新聞] 疫情延燒 科學園區理事長：產業裁員減薪無薪假續命,10,orz44444,4/01,https://www.ptt.cc/bbs/Tech_Job/M.1585737801.A.A0E.html
[新聞] 中國紫光集團恐爆債務危機 美元計息公司,,csfgsj,4/01,https://www.ptt.cc/bbs/Tech_Job/M.1585743679.A.233.html
[請益] 那個一直沒被升遷的人,57,leomou,4/01,https://www.ptt.cc/bbs/Tech_Job/M.1585746209.A.7FA.html
[問卷] (加碼餐卷)有家庭上班族的職場行為調查,3,elmo1419,4/01,https://www.ptt.cc/bbs/Tech_Job/M.1585748213.A.857.html
[請益] 那個一直沒被升遷的人,6,njpp,4/01,https://www.ptt.cc/bbs/Tech_Job/M.1585749257.A.180.html
[新聞] 鴻海：5g iphone仍有望今秋上市,3,hvariables,4/01,https://www.ptt.cc/bbs/Tech_Job/M.1585752602.A.301.html
